id,nation
1,SanFrancisco-California-UnitedStates
2,SanFrancisco-California-UnitedStates
3,SanFrancisco-California-UnitedStates
10,NewYork-NewYork-UnitedStates
53,Berlin-Germany
56,SanFrancisco-California-UnitedStates
72,NewYork-NewYork-UnitedStates
101,Oakland-California-UnitedStates
126,Tallahassee-Florida-UnitedStates
240,SanFrancisco-California-UnitedStates
264,LosAngeles-California-UnitedStates
318,Austin-Texas-UnitedStates
319,SanFrancisco-California-UnitedStates
357,LosAngeles-California-UnitedStates
409,SanFrancisco-California-UnitedStates
414,NoviSad-Serbia
431,SanFrancisco-California-UnitedStates
470,SanFrancisco-California-UnitedStates
484,Paris-France
524,Denver-Colorado-UnitedStates
537,Bristol-UnitedKingdom
924,Denver-Colorado-UnitedStates
988,Denver-Colorado-UnitedStates
1039,NewYork-NewYork-UnitedStates
1187,Boulder-Colorado-UnitedStates
1339,London-UnitedKingdom
1372,Washington-DistrictofColumbia-UnitedStates
1429,Berlin-Germany
1467,GreatNeck-NewYork-UnitedStates
1468,Louisville-Kentucky-UnitedStates
1483,Scottsdale-Arizona-UnitedStates
1580,Vienna-Austria
1628,Denver-Colorado-UnitedStates
1671,NewYork-NewYork-UnitedStates
1674,SanFrancisco-California-UnitedStates
1685,Oslo-Norway
1698,LosAngeles-California-UnitedStates
1736,SilverSpring-Maryland-UnitedStates
1766,Chicago-Illinois-UnitedStates
1787,Portland-Oregon-UnitedStates
1789,Denver-Colorado-UnitedStates
1793,WashingtonD.C.-DistrictofColumbia-UnitedStates
1846,Austin-Texas-UnitedStates
1904,Berlin-Germany
1908,Portland-Oregon-UnitedStates
1920,London-UnitedKingdom
2044,SanFrancisco-California-UnitedStates
2117,LosAngeles-California-UnitedStates
2279,Denver-Colorado-UnitedStates
2287,Omaha-Nebraska-UnitedStates
2320,Melbourne-Victoria-Australia
2426,Pasadena-California-UnitedStates
2477,Brighton-UnitedKingdom
2486,Christchurch-NewZealand
2488,KienGiang-Vietnam
2521,Vienna-Austria
2603,SanFrancisco-California-UnitedStates
2616,RiodeJaneiro-Brazil
2649,Shibuya-Japan
2758,NewYork-NewYork-UnitedStates
2766,Shanghai-China
2778,NewYork-UnitedStates
2790,Washington-DistrictofColumbia-UnitedStates
2845,NewYork-NewYork-UnitedStates
2860,SanFrancisco-California-UnitedStates
2956,Paris-France
2995,Atlanta-Georgia-UnitedStates
3013,StLouis-Missouri-UnitedStates
3062,Waltham-Massachusetts-UnitedStates
3175,NewYork-NewYork-UnitedStates
3236,Paris-France
3240,Murrieta-California-UnitedStates
3402,SilverSpring-Maryland-UnitedStates
3403,Singapore
3407,SantaMonica-California-UnitedStates
3518,Oakland-California-UnitedStates
3529,Seattle-Washington-UnitedStates
3533,NewYork-NewYork-UnitedStates
3583,SanFrancisco-California-UnitedStates
3587,NewOrleans-Louisiana-UnitedStates
3610,Richmond-Virginia-UnitedStates
3645,Salem-Ohio-UnitedStates
3690,NewYork-NewYork-UnitedStates
3780,Toronto-Canada
3867,NewYork-NewYork-UnitedStates
3917,Rome-Italy
3929,SanDiego-California-UnitedStates
3992,Vinton-Virginia-UnitedStates
4093,Maryland-UnitedStates
4175,London-UnitedKingdom
4364,NewYork-NewYork-UnitedStates
4528,Washington-DistrictofColumbia-UnitedStates
4534,Washington-DistrictofColumbia-UnitedStates
4576,Washington-DistrictofColumbia-UnitedStates
4642,Moscow-Russia
4645,WashingtonD.C.-DistrictofColumbia-UnitedStates
4674,Link\xc3\xb6ping-Sweden
4764,Seattle-Washington-UnitedStates
4793,Chicago-Illinois-UnitedStates
4855,Amsterdam-Netherlands
5059,Washington-DistrictofColumbia-UnitedStates
5273,NorthLiberty-Iowa-UnitedStates
5285,Washington-DistrictofColumbia-UnitedStates
5472,Washington-DistrictofColumbia-UnitedStates
5498,Washington-DistrictofColumbia-UnitedStates
5521,BuenosAires-Argentina
5538,Hartsdale-NewYork-UnitedStates
5598,Minneapolis-Minnesota-UnitedStates
5599,Clearwater-Florida-UnitedStates
5614,Chicago-Illinois-UnitedStates
5616,Washington-DistrictofColumbia-UnitedStates
5775,Chicago-Illinois-UnitedStates
5816,Vienna-Austria
5889,AuburnHills-Michigan-UnitedStates
5957,Seattle-Washington-UnitedStates
6043,WashingtonD.C.-DistrictofColumbia-UnitedStates
6161,WashingtonD.C.-DistrictofColumbia-UnitedStates
6407,Lille-France
6431,Portland-Oregon-UnitedStates
6438,LosAngeles-California-UnitedStates
6459,Sydney-NewSouthWales-Australia
6469,Paris-France
6499,WashingtonD.C.-DistrictofColumbia-UnitedStates
6527,WashingtonD.C.-DistrictofColumbia-UnitedStates
6607,Poway-California-UnitedStates
6618,Frederick-Maryland-UnitedStates
6655,Washington-DistrictofColumbia-UnitedStates
6730,Norwalk-Connecticut-UnitedStates
6754,SantaFe-NewMexico-UnitedStates
6929,LosAngeles-California-UnitedStates
6957,Toronto-Canada
7004,Edinburgh-UnitedKingdom
7045,Phoenixville-Pennsylvania-UnitedStates
7048,SaoPaulo-Brazil
7054,PaloAlto-California-UnitedStates
7061,Bogota-Colombia
7106,Oakland-California-UnitedStates
7149,SanFrancisco-California-UnitedStates
7156,NewYork-NewYork-UnitedStates
7171,NewHampshire-UnitedStates
7182,Montreal-Canada
7206,Pittsburgh-Pennsylvania-UnitedStates
7247,Washington-DistrictofColumbia-UnitedStates
7249,Oakland-California-UnitedStates
7332,NewYork-NewYork-UnitedStates
7351,NewYork-NewYork-UnitedStates
7475,Dallas-Texas-UnitedStates
7538,NewYork-NewYork-UnitedStates
7559,London-UnitedKingdom
7584,Paris-France
7599,Hauenstein-Ifenthal-Switzerland
7765,Malm\xc3\xb6-Sweden
7766,SanFrancisco-California-UnitedStates
7778,SunnyIslesBeach-Florida-UnitedStates
7849,PaloAlto-California-UnitedStates
7853,NewYork-NewYork-UnitedStates
7963,Dallas-Texas-UnitedStates
7999,NewYork-NewYork-UnitedStates
8061,Boston-Massachusetts-UnitedStates
8229,Boston-Massachusetts-UnitedStates
8294,Chicago-Illinois-UnitedStates
8325,MontgomeryVillage-Maryland-UnitedStates
8337,California-UnitedStates
8340,SanDiego-California-UnitedStates
8402,NewYork-NewYork-UnitedStates
8443,Villepinte-France
8455,Antibes-France
8467,TaoyuanCity-Taiwan
8470,SanJose-California-UnitedStates
8475,Burbank-California-UnitedStates
8512,StPaul-Minnesota-UnitedStates
8519,TelAviv-Israel
8578,SanFrancisco-California-UnitedStates
8590,Berlin-Germany
8613,LasVegas-Nevada-UnitedStates
8646,KansasCity-Missouri-UnitedStates
8648,OrchardLakeVillage-Michigan-UnitedStates
8670,Philadelphia-Pennsylvania-UnitedStates
8694,Worthington-Ohio-UnitedStates
8730,NewYork-NewYork-UnitedStates
8734,TheHague-Netherlands
8756,Berlin-Germany
8834,Montreal-Canada
8860,Paris-France
8876,Plymouth-Massachusetts-UnitedStates
8934,LeChesnay-France
8974,NewYork-NewYork-UnitedStates
9018,Montreal-Canada
9048,London-UnitedKingdom
9144,SanFrancisco-California-UnitedStates
9193,BuenaPark-California-UnitedStates
9287,Singapore
9297,Toronto-Canada
9305,Ludlow-Massachusetts-UnitedStates
9347,Toronto-Canada
9421,CA
9449,Atlanta-Georgia-UnitedStates
9504,RedondoBeach-California-UnitedStates
9564,AlisoViejo-California-UnitedStates
9600,Boulder-Colorado-UnitedStates
9604,Lima-Peru
9616,Amsterdam-Netherlands
9631,Doncaster-UnitedKingdom
9683,SanFrancisco-California-UnitedStates
9703,Madrid-Spain
9708,NewYork-NewYork-UnitedStates
9711,Amsterdam-Netherlands
9713,Ithaca-NewYork-UnitedStates
9724,Boulder-Colorado-UnitedStates
9739,SanJose-California-UnitedStates
9759,Berlin-Germany
9788,Seattle-Washington-UnitedStates
9805,Brisbane-Australia
9816,London-UnitedKingdom
9818,Rome-Italy
9868,Berkeley-California-UnitedStates
9870,London-UnitedKingdom
9931,Melbourne-Australia
9959,NewYork-NewYork-UnitedStates
9974,M\xc3\xbcnster-Germany
9985,Austin-Texas-UnitedStates
10102,CentralPoint-Oregon-UnitedStates
10261,Berlin-Germany
10263,Chicago-Illinois-UnitedStates
10284,SanFrancisco-California-UnitedStates
10329,NewYork-NewYork-UnitedStates
10342,Vorselaar-Belgium
10360,Portland-Oregon-UnitedStates
10456,Richmond-Virginia-UnitedStates
10492,ManhattanBeach-California-UnitedStates
10512,WashingtonD.C.-DistrictofColumbia-UnitedStates
10513,NewYork-NewYork-UnitedStates
10528,NewYork-NewYork-UnitedStates
10531,Arlington-Virginia-UnitedStates
10536,NewYork-NewYork-UnitedStates
10606,Pantin-France
10620,Seattle-Washington-UnitedStates
10657,SanFrancisco-California-UnitedStates
10674,Watertown-Massachusetts-UnitedStates
10681,Maryland-UnitedStates
10731,London-UnitedKingdom
10889,NewYork-NewYork-UnitedStates
10951,Denver-Colorado-UnitedStates
10975,BrunswickEast-Australia
11000,LittleCanada-Minnesota-UnitedStates
11023,Goteborg-Sweden
11027,London-UnitedKingdom
11044,NewYork-NewYork-UnitedStates
11118,Tampa-Florida-UnitedStates
11175,NewYork-NewYork-UnitedStates
11213,Portland-Oregon-UnitedStates
11245,London-UnitedKingdom
11293,Montreal-Canada
11327,Jersey
11342,Fairhope-Alabama-UnitedStates
11431,London-UnitedKingdom
11470,Austin-Texas-UnitedStates
11495,Indianapolis-Indiana-UnitedStates
11534,Cambridge-Massachusetts-UnitedStates
11604,Lausanne-Switzerland
11624,NewHaven-Connecticut-UnitedStates
11657,Santiago-Chile
11698,NewYork-NewYork-UnitedStates
11751,LosAngeles-California-UnitedStates
11815,Portland-Oregon-UnitedStates
11871,Chicago-Illinois-UnitedStates
11898,Cheektowaga-NewYork-UnitedStates
11921,NewYork-NewYork-UnitedStates
11959,LosAngeles-California-UnitedStates
11975,LosAngeles-California-UnitedStates
11979,SanFrancisco-California-UnitedStates
12033,NewYork-NewYork-UnitedStates
12045,Brisbane-Australia
12061,LosAngeles-California-UnitedStates
12084,Antioch-California-UnitedStates
12133,London-UnitedKingdom
12243,MexicoCity-Mexico
12251,Melbourne-Australia
12266,LosAngeles-California-UnitedStates
12458,Vancouver-Canada
12490,Montreal-Canada
12502,NewYork-NewYork-UnitedStates
12521,Dublin-Ireland
12524,Moscow-Russia
12577,Moscow-Russia
12598,Miami-Florida-UnitedStates
12602,Blacksburg-Virginia-UnitedStates
12617,LosAngeles-California-UnitedStates
12619,MenloPark-California-UnitedStates
12623,SanFrancisco-California-UnitedStates
12645,NewYork-NewYork-UnitedStates
12655,EastAurora-NewYork-UnitedStates
12673,LosAngeles-California-UnitedStates
12678,SanFrancisco-California-UnitedStates
12707,Zurich-Switzerland
12713,Boston-Massachusetts-UnitedStates
12726,Orange-California-UnitedStates
12793,NewYork-NewYork-UnitedStates
12804,Seattle-Washington-UnitedStates
12816,Atlanta-Georgia-UnitedStates
12830,Paris-France
12844,Copenhagen-Denmark
12936,SanFrancisco-California-UnitedStates
12938,Washington-DistrictofColumbia-UnitedStates
12969,Ottawa-Canada
12988,Paris-France
13011,SanFrancisco-California-UnitedStates
13082,MountainView-California-UnitedStates
13096,Austin-Texas-UnitedStates
13113,Boulder-Colorado-UnitedStates
13219,Copenhagen-Denmark
13223,McAllen-Texas-UnitedStates
13269,Bisbee-Arizona-UnitedStates
13282,CapeTown-SouthAfrica
13301,Encinitas-California-UnitedStates
13359,Wicklow-Ireland
13384,HarrisonTownship-Michigan-UnitedStates
13451,Orlando-Florida-UnitedStates
13585,Boston-Massachusetts-UnitedStates
13642,LosAngeles-California-UnitedStates
13697,WashingtonD.C.-DistrictofColumbia-UnitedStates
13700,Berlin-Germany
13764,Longmont-Colorado-UnitedStates
13789,SanDiego-California-UnitedStates
13812,FortMyers-Florida-UnitedStates
13844,NewYork-NewYork-UnitedStates
13887,Arcata-California-UnitedStates
13971,Philo-California-UnitedStates
14019,Berlin-Germany
14058,Lincoln-California-UnitedStates
14077,Sydney-NewSouthWales-Australia
14095,Antwerpen-Belgium
14108,Manchester-UnitedKingdom
14130,Charlotte-NorthCarolina-UnitedStates
14143,LosAngeles-California-UnitedStates
14186,Richmond-Virginia-UnitedStates
14229,CoralGables-Florida-UnitedStates
14261,Somerville-Massachusetts-UnitedStates
14301,NewYork-NewYork-UnitedStates
14302,Frederiksberg-Denmark
14340,Portland-Oregon-UnitedStates
14413,Sydney-Australia
14422,London-UnitedKingdom
14435,FortWayne-Indiana-UnitedStates
14438,Princeton-NewJersey-UnitedStates
14456,Cambridge-Massachusetts-UnitedStates
14470,NewYork-NewYork-UnitedStates
14502,SanFrancisco-California-UnitedStates
14513,Eagle-Colorado-UnitedStates
14521,NewYork-NewYork-UnitedStates
14548,SanFrancisco-California-UnitedStates
14570,Copenhagen-Denmark
14640,SouthValleyStream-NewYork-UnitedStates
14656,NewYork-NewYork-UnitedStates
14688,Atlanta-Georgia-UnitedStates
14756,Munich-Germany
14761,Oslo-Norway
14794,Pagewood-Australia
14804,Toronto-Canada
14838,Sydney-Australia
14867,Omaha-Nebraska-UnitedStates
14898,Berlin-Germany
14915,Durham-NorthCarolina-UnitedStates
14950,SanFrancisco-California-UnitedStates
14977,Boston-Massachusetts-UnitedStates
15049,LosAngeles-California-UnitedStates
15051,Montreal-Canada
15110,SanFrancisco-California-UnitedStates
15295,LosAngeles-California-UnitedStates
15312,Paris-France
15315,EastHampton-NewYork-UnitedStates
15332,NewYork-NewYork-UnitedStates
15342,Houston-Texas-UnitedStates
15346,NewYork-NewYork-UnitedStates
15357,WestHaven-Australia
15398,Oakland-California-UnitedStates
15411,SanFrancisco-California-UnitedStates
15508,Toronto-Canada
